,IP Address,Hour of Day,Event Label,Total Events,Pageviews,Sessions,Session Duration,sumEventClicks
843,73.11.8.10,2021092614,treatmentsButton,1,12,1,0:49:40,25
832,73.11.8.10,2021092613,common-hot-flashes.png,2,12,1,0:49:40,25
833,73.11.8.10,2021092613,mind-body,1,12,1,0:49:40,25
834,73.11.8.10,2021092613,ok-for-breast-cancer,2,12,1,0:49:40,25
835,73.11.8.10,2021092613,only-treatments-known-to-work,4,12,1,0:49:40,25
836,73.11.8.10,2021092613,other-aches-pains.png,1,12,1,0:49:40,25
837,73.11.8.10,2021092613,prescription-medicine,1,12,1,0:49:40,25
838,73.11.8.10,2021092613,professional-help,1,12,1,0:49:40,25
839,73.11.8.10,2021092613,sex-period.png,1,12,1,0:49:40,25
840,73.11.8.10,2021092613,supplement,1,12,1,0:49:40,25
841,73.11.8.10,2021092613,treatmentsButton,2,12,1,0:49:40,25
842,73.11.8.10,2021092613,try-on-your-own,1,12,1,0:49:40,25
819,73.11.8.10,2021092612,common-depression.png,3,7,2,0:24:43,25
820,73.11.8.10,2021092612,common-hot-flashes.png,3,7,2,0:24:43,25
821,73.11.8.10,2021092612,common-insomnia.png,3,7,2,0:24:43,25
822,73.11.8.10,2021092612,late-menopause-transition-result,1,5,1,0:23:11,25
823,73.11.8.10,2021092612,mind-body,1,5,1,0:23:11,25
824,73.11.8.10,2021092612,only-treatments-known-to-work,1,5,1,0:23:11,25
825,73.11.8.10,2021092612,other-aches-pains.png,3,7,2,0:24:43,25
826,73.11.8.10,2021092612,other-dryness.png,3,7,2,0:24:43,25
827,73.11.8.10,2021092612,prescription-medicine,1,5,1,0:23:11,25
828,73.11.8.10,2021092612,sex-period.png,3,7,2,0:24:43,25
829,73.11.8.10,2021092612,supplement,1,5,1,0:23:11,25
830,73.11.8.10,2021092612,treatmentsButton,8,7,2,0:24:43,25
831,73.11.8.10,2021092612,try-on-your-own,1,5,1,0:23:11,25
